Frequency,Data
1019.1,987786
1120,904186
1220.9,848633
1321.8,799849
1422.7,753383
1523.6,717748
1624.5,686410
1725.5,655489
1826.4,627235
1927.3,602680
2028.2,578236
2129.1,555823
2230,536436
2330.9,520201
2431.8,505440
2532.7,488659
2633.6,476424
2734.5,465242
2835.5,449329
2936.4,434680
3037.3,423234
3138.2,407667
3239.1,393085
3340,381762
3440.9,370642
3541.8,359828
3642.7,352564
3743.6,345845
3844.5,333123
3945.5,320965
4046.4,311433
4147.3,304380
4248.2,297672
4349.1,292327
4450,286772
4550.9,282509
4651.8,280182
4752.7,278853
4853.6,274536
4954.5,270711
5055.5,264814
5156.4,259149
5257.3,254755
5358.2,251071
5459.1,247013
5560,242621
5660.9,238123
5761.8,234426
5862.7,230019
5963.6,225697
6064.5,219703
6165.5,215303
6266.4,212181
6367.3,208936
6468.2,205013
6569.1,201596
6670,198072
6770.9,196161
6871.8,193267
6972.7,189899
7073.6,187358
7174.5,184631
7275.5,182479
7376.4,179855
7477.3,177227
7578.2,174244
7679.1,171757
7780,169556
7880.9,167283
7981.8,165080
8082.7,162374
8183.6,159804
8284.5,157467
8385.5,155161
8486.4,152932
8587.3,151362
8688.2,149816
8789.1,148132
8890,146631
8990.9,145451
9091.8,143958
9192.7,142410
9293.6,141154
9394.5,141384
9495.5,144135
9596.4,139804
9697.3,137512
9798.2,136375
9899.1,134926
10000,133346
