Frequency,Data
514.55,1108860
615.45,1019190
716.36,969280
817.27,900423
918.18,838654
1019.1,802885
1120,767900
1220.9,728708
1321.8,686799
1422.7,659291
1523.6,622428
1624.5,594432
1725.5,573816
1826.4,554192
1927.3,530701
2028.2,512899
2129.1,495293
2230,477655
2330.9,462185
2431.8,449583
2532.7,436088
2633.6,421959
2734.5,413647
2835.5,405822
2936.4,395531
3037.3,386893
3138.2,378294
3239.1,369434
3340,357566
3440.9,350054
3541.8,341505
3642.7,334245
3743.6,329396
3844.5,319904
3945.5,315014
4046.4,307495
4147.3,302061
4248.2,296757
4349.1,293235
4450,287804
4550.9,284950
4651.8,280352
4752.7,277124
4853.6,273710
4954.5,268981
5055.5,264655
5156.4,260793
5257.3,256820
5358.2,253443
5459.1,249873
5560,246711
5660.9,248754
5761.8,248545
5862.7,334375
5963.6,361322
6064.5,297354
6165.5,285588
6266.4,279567
6367.3,274057
6468.2,267208
6569.1,257992
6670,248788
6770.9,242372
6871.8,238841
6972.7,236577
7073.6,233090
7174.5,227725
7275.5,224079
7376.4,221425
7477.3,218210
7578.2,215429
7679.1,213511
7780,209899
7880.9,206992
7981.8,204781
8082.7,202415
8183.6,199202
8284.5,196943
8385.5,194108
8486.4,191133
8587.3,189352
8688.2,186563
8789.1,184959
8890,182909
8990.9,180066
9091.8,178593
9192.7,177843
9293.6,176684
9394.5,174971
9495.5,173379
9596.4,172060
9697.3,170540
9798.2,168983
9899.1,168036
10000,167826
