Frequency,Data
413.64,1121780
514.55,1024930
615.45,916950
716.36,844443
817.27,778839
918.18,722462
1019.1,677721
1120,633677
1220.9,599184
1321.8,569314
1422.7,542385
1523.6,517630
1624.5,494081
1725.5,473832
1826.4,457524
1927.3,440022
2028.2,423346
2129.1,410685
2230,399616
2330.9,385931
2431.8,374269
2532.7,361681
2633.6,351093
2734.5,342619
2835.5,335731
2936.4,330820
3037.3,320013
3138.2,310371
3239.1,305074
3340,300432
3440.9,294889
3541.8,289398
3642.7,283333
3743.6,278142
3844.5,272551
3945.5,267151
4046.4,261994
4147.3,256851
4248.2,252504
4349.1,247640
4450,244025
4550.9,241049
4651.8,236790
4752.7,234248
4853.6,230225
4954.5,226414
5055.5,221725
5156.4,219630
5257.3,216989
5358.2,214207
5459.1,210515
5560,208135
5660.9,205204
5761.8,203361
5862.7,200011
5963.6,197858
6064.5,194949
6165.5,192355
6266.4,189126
6367.3,186755
6468.2,184089
6569.1,181975
6670,179677
6770.9,177518
6871.8,175585
6972.7,174037
7073.6,171892
7174.5,170463
7275.5,168354
7376.4,166088
7477.3,164223
7578.2,162173
7679.1,159554
7780,157239
7880.9,155349
7981.8,153546
8082.7,151504
8183.6,149866
8284.5,147925
8385.5,146714
8486.4,145115
8587.3,143717
8688.2,141906
8789.1,140940
8890,139397
8990.9,137656
9091.8,136107
9192.7,134756
9293.6,133361
9394.5,131869
9495.5,130653
9596.4,128895
9697.3,127177
9798.2,126001
9899.1,124567
10000,123240
