Frequency,Data
10,211403000
110.91,28779200
211.82,17057700
312.73,12583900
413.64,9968560
514.55,7970650
615.45,7024830
716.36,6075630
817.27,5359690
918.18,4841390
1019.1,4454690
1120,4248070
1220.9,3861640
1321.8,3564160
1422.7,3313860
1523.6,3100710
1624.5,2934450
1725.5,2793450
1826.4,2686190
1927.3,2526000
2028.2,9.9E+37
2129.1,9.9E+37
2230,9.9E+37
2330.9,9.9E+37
2431.8,9.9E+37
2532.7,9.9E+37
2633.6,9.9E+37
2734.5,9.9E+37
2835.5,9.9E+37
2936.4,9.9E+37
3037.3,9.9E+37
3138.2,9.9E+37
3239.1,9.9E+37
3340,9.9E+37
3440.9,9.9E+37
3541.8,9.9E+37
3642.7,9.9E+37
3743.6,9.9E+37
3844.5,9.9E+37
3945.5,9.9E+37
4046.4,9.9E+37
4147.3,9.9E+37
4248.2,9.9E+37
4349.1,1095730
4450,1056080
4550.9,1036080
4651.8,1006010
4752.7,999425
4853.6,987691
4954.5,958014
5055.5,938769
5156.4,909704
5257.3,887533
5358.2,876214
5459.1,859755
5560,840446
5660.9,826180
5761.8,810093
5862.7,797898
5963.6,781033
6064.5,765820
6165.5,753822
6266.4,740784
6367.3,733314
6468.2,724318
6569.1,708737
6670,699294
6770.9,689550
6871.8,675256
6972.7,665473
7073.6,647419
7174.5,637769
7275.5,627628
7376.4,624045
7477.3,614715
7578.2,606653
7679.1,598994
7780,592844
7880.9,586145
7981.8,576351
8082.7,565982
8183.6,559028
8284.5,555549
8385.5,546371
8486.4,535457
8587.3,533164
8688.2,530765
8789.1,527667
8890,518515
8990.9,509641
9091.8,504457
9192.7,502837
9293.6,497012
9394.5,493896
9495.5,487459
9596.4,478676
9697.3,471683
9798.2,466287
9899.1,462890
10000,459968
