Frequency,Data
10,151691000
110.91,24349100
211.82,16673200
312.73,12404600
413.64,10473800
514.55,8622110
615.45,7551010
716.36,6788580
817.27,5859750
918.18,5406270
1019.1,4851390
1120,4469430
1220.9,4155120
1321.8,3792380
1422.7,3576400
1523.6,3367970
1624.5,3162970
1725.5,2959960
1826.4,2796130
1927.3,2693180
2028.2,9.9E+37
2129.1,9.9E+37
2230,9.9E+37
2330.9,9.9E+37
2431.8,9.9E+37
2532.7,9.9E+37
2633.6,9.9E+37
2734.5,9.9E+37
2835.5,9.9E+37
2936.4,9.9E+37
3037.3,9.9E+37
3138.2,9.9E+37
3239.1,9.9E+37
3340,9.9E+37
3440.9,9.9E+37
3541.8,9.9E+37
3642.7,9.9E+37
3743.6,9.9E+37
3844.5,9.9E+37
3945.5,9.9E+37
4046.4,9.9E+37
4147.3,9.9E+37
4248.2,9.9E+37
4349.1,9.9E+37
4450,9.9E+37
4550.9,9.9E+37
4651.8,9.9E+37
4752.7,1104290
4853.6,1079580
4954.5,1069590
5055.5,1042530
5156.4,1018950
5257.3,999620
5358.2,978115
5459.1,960105
5560,953691
5660.9,930473
5761.8,916631
5862.7,904392
5963.6,898049
6064.5,883189
6165.5,866630
6266.4,846719
6367.3,826520
6468.2,815212
6569.1,798621
6670,785538
6770.9,769707
6871.8,760273
6972.7,750183
7073.6,737142
7174.5,729575
7275.5,717033
7376.4,702391
7477.3,696673
7578.2,690315
7679.1,681081
7780,671254
7880.9,664472
7981.8,663917
8082.7,653600
8183.6,647286
8284.5,637797
8385.5,628994
8486.4,618249
8587.3,613066
8688.2,601255
8789.1,598094
8890,592393
8990.9,586222
9091.8,585648
9192.7,577318
9293.6,572690
9394.5,565226
9495.5,557647
9596.4,556496
9697.3,554059
9798.2,546274
9899.1,540092
10000,534474
