Frequency,Data
1422.7,1059810
1523.6,990323
1624.5,950260
1725.5,906519
1826.4,865225
1927.3,822494
2028.2,784373
2129.1,754284
2230,729898
2330.9,690745
2431.8,659734
2532.7,633177
2633.6,619398
2734.5,604182
2835.5,579341
2936.4,562526
3037.3,547039
3138.2,535019
3239.1,522462
3340,505883
3440.9,500021
3541.8,487411
3642.7,469524
3743.6,457283
3844.5,447625
3945.5,427189
4046.4,416972
4147.3,402387
4248.2,394582
4349.1,387189
4450,375714
4550.9,367922
4651.8,357731
4752.7,350736
4853.6,343404
4954.5,336721
5055.5,330343
5156.4,322460
5257.3,317021
5358.2,310365
5459.1,304327
5560,298587
5660.9,291637
5761.8,285843
5862.7,281860
5963.6,276296
6064.5,271883
6165.5,267574
6266.4,263267
6367.3,258865
6468.2,254675
6569.1,250025
6670,247074
6770.9,243763
6871.8,238861
6972.7,236870
7073.6,233408
7174.5,228892
7275.5,226712
7376.4,223569
7477.3,220753
7578.2,220084
7679.1,215396
7780,212510
7880.9,210436
7981.8,208651
8082.7,206845
8183.6,201487
8284.5,200532
8385.5,198922
8486.4,195902
8587.3,196266
8688.2,191656
8789.1,188802
8890,185767
8990.9,183424
9091.8,185501
9192.7,180545
9293.6,178782
9394.5,176264
9495.5,176998
9596.4,174293
9697.3,171455
9798.2,169650
9899.1,167093
10000,163195
