Frequency,Data
312.73,956797
413.64,742029
514.55,614820
615.45,532298
716.36,462620
817.27,427975
918.18,388524
1019.1,350267
1120,324076
1220.9,306126
1321.8,286673
1422.7,269747
1523.6,255197
1624.5,243531
1725.5,236031
1826.4,226350
1927.3,217353
2028.2,211158
2129.1,204915
2230,198625
2330.9,197124
2431.8,184528
2532.7,181055
2633.6,184153
2734.5,169870
2835.5,164089
2936.4,156728
3037.3,152639
3138.2,146407
3239.1,146865
3340,149570
3440.9,140739
3541.8,134806
3642.7,130630
3743.6,126223
3844.5,123062
3945.5,120060
4046.4,117004
4147.3,114252
4248.2,111980
4349.1,109119
4450,106897
4550.9,104524
4651.8,102500
4752.7,100662
4853.6,99047.4
4954.5,97224.2
5055.5,96143.6
5156.4,94260.9
5257.3,93123.7
5358.2,91924.4
5459.1,90950.7
5560,89636
5660.9,88308.1
5761.8,87832
5862.7,86323.6
5963.6,85287.1
6064.5,84187.4
6165.5,83226.5
6266.4,82171.2
6367.3,81265.8
6468.2,80025.8
6569.1,78653.1
6670,77216.2
6770.9,76095.3
6871.8,75138.3
6972.7,74139.5
7073.6,73172.7
7174.5,72354.3
7275.5,71335.2
7376.4,70452.9
7477.3,69600.2
7578.2,68774.2
7679.1,68007.4
7780,67393.8
7880.9,66713.5
7981.8,66012.2
8082.7,65409.5
8183.6,64635.9
8284.5,64076.9
8385.5,63414.8
8486.4,62822.9
8587.3,62156.5
8688.2,62065.9
8789.1,61365.5
8890,60679.3
8990.9,60322.6
9091.8,59779.1
9192.7,59136.6
9293.6,58547.2
9394.5,57991.1
9495.5,57508.4
9596.4,57205.8
9697.3,56754.6
9798.2,56181.4
9899.1,55704.7
10000,55205.7
