Frequency,Data
110.91,1010440
211.82,750120
312.73,588399
413.64,493739
514.55,427354
615.45,373353
716.36,334354
817.27,303316
918.18,281358
1019.1,259883
1120,240250
1220.9,224358
1321.8,210997
1422.7,198498
1523.6,187786
1624.5,177921
1725.5,169022
1826.4,161352
1927.3,154610
2028.2,148102
2129.1,142141
2230,137456
2330.9,132048
2431.8,127805
2532.7,123683
2633.6,120004
2734.5,116647
2835.5,112679
2936.4,109290
3037.3,106218
3138.2,103173
3239.1,100776
3340,98286.4
3440.9,95916.5
3541.8,93701.4
3642.7,91592
3743.6,89506.9
3844.5,87544.1
3945.5,85725
4046.4,83933.6
4147.3,82032.6
4248.2,80366.6
4349.1,78699.3
4450,77242.6
4550.9,75677.5
4651.8,74278.8
4752.7,73074.5
4853.6,71852.2
4954.5,70761.3
5055.5,69424.2
5156.4,68104.9
5257.3,66912.9
5358.2,65777.3
5459.1,64706.4
5560,63643.2
5660.9,62735.7
5761.8,61756.2
5862.7,60896.6
5963.6,60035.1
6064.5,59219.9
6165.5,58395
6266.4,57752.4
6367.3,56944.9
6468.2,56176
6569.1,55470.3
6670,54818
6770.9,54059.7
6871.8,53536.5
6972.7,52784.1
7073.6,51991
7174.5,51275.8
7275.5,51027.4
7376.4,50433.4
7477.3,49792
7578.2,49280
7679.1,48697.2
7780,48123.6
7880.9,47564.6
7981.8,46960.7
8082.7,46471.9
8183.6,45976.7
8284.5,45487.4
8385.5,45069.6
8486.4,44589.2
8587.3,44048.3
8688.2,43634.4
8789.1,43244.5
8890,42756.2
8990.9,42340.2
9091.8,42020.4
9192.7,41811.5
9293.6,41559.8
9394.5,41174.2
9495.5,40846.2
9596.4,40421.1
9697.3,40018.6
9798.2,39689.3
9899.1,39368.3
10000,
