Frequency,Data,
211.82,898106,
312.73,662228,
413.64,526834,
514.55,443202,
615.45,379458,
716.36,332941,
817.27,297112,
918.18,268946,
1019.1,245535,
1120,226548,
1220.9,210198,
1321.8,195686,
1422.7,183204,
1523.6,173690,
1624.5,164317,
1725.5,155981,
1826.4,148518,
1927.3,142260,
2028.2,136932,
2129.1,131195,
2230,125696,
2330.9,120398,
2431.8,116167,
2532.7,112723,
2633.6,108741,
2734.5,105441,
2835.5,102161,
2936.4,99529,
3037.3,96550.5,
3138.2,93974.2,
3239.1,92733.7,
3340,90231,
3440.9,87171.3,
3541.8,84544.6,
3642.7,83034.2,
3743.6,80476.6,
3844.5,78413.7,
3945.5,76486.9,
4046.4,75181.2,
4147.3,73457.3,
4248.2,71855.2,
4349.1,70308.6,
4450,69269.6,
4550.9,68447.1,
4651.8,68902.7,
4752.7,67321.5,
4853.6,65354.2,
4954.5,63870.1,
5055.5,62749.4,
5156.4,61264.6,
5257.3,59784.4,
5358.2,58618.6,
5459.1,57660.3,
5560,56636.6,
5660.9,56078.7,
5761.8,55306.8,
5862.7,54309.1,
5963.6,53273.7,
6064.5,52511.1,
6165.5,51781.7,
6266.4,50956.6,
6367.3,50127.3,
6468.2,49456.8,
6569.1,48638.5,
6670,47897.6,
6770.9,47197.7,
6871.8,46580.3,
6972.7,46072.4,
7073.6,45458.2,
7174.5,44918.9,
7275.5,44365.7,
7376.4,43755.1,
7477.3,43317.4,
7578.2,42638.2,
7679.1,42150.9,
7780,41648,
7880.9,41212,
7981.8,40677.2,
8082.7,40288.4,
8183.6,39896.9,
8284.5,39555.3,
8385.5,38974.8,
8486.4,39100.6,
8587.3,38899.4,
8688.2,38453,
8789.1,38145.8,
8890,38520,
8990.9,38062.4,
9091.8,37127.1,
9192.7,36848.7,
9293.6,36595.2,
9394.5,36387.5,
9495.5,35977.2,
9596.4,35580,
9697.3,35381.9,
9798.2,35116.5,
9899.1,34658.8,
10000,34509.2,
