Frequency,Data
110.91,1000460
211.82,613658
312.73,452441
413.64,361597
514.55,300922
615.45,259391
716.36,229623
817.27,206090
918.18,186764
1019.1,170959
1120,156934
1220.9,145766
1321.8,136481
1422.7,127959
1523.6,119494
1624.5,112990
1725.5,108601
1826.4,102278
1927.3,95797.3
2028.2,91449.8
2129.1,87640
2230,83093.7
2330.9,80551.6
2431.8,78841.7
2532.7,77664.5
2633.6,75234.9
2734.5,72597.9
2835.5,69651.1
2936.4,67772.5
3037.3,65999.1
3138.2,64104.4
3239.1,62337
3340,60648.6
3440.9,59104.5
3541.8,57666.8
3642.7,56328.4
3743.6,55088.5
3844.5,53862.8
3945.5,52890.7
4046.4,51963.7
4147.3,51222.4
4248.2,50986.3
4349.1,49766.7
4450,48186.1
4550.9,46977.8
4651.8,45963.6
4752.7,45004.6
4853.6,44136.7
4954.5,43114
5055.5,42084.9
5156.4,41176.6
5257.3,40319.8
5358.2,39620.7
5459.1,38840
5560,37644.3
5660.9,36660.8
5761.8,36075.9
5862.7,35539.2
5963.6,34997.9
6064.5,34835.3
6165.5,34524.3
6266.4,33945
6367.3,33291.2
6468.2,32721.7
6569.1,32236.7
6670,31726
6770.9,31211.5
6871.8,30695.7
6972.7,30199.9
7073.6,29737.1
7174.5,29267.1
7275.5,28726.5
7376.4,28331.3
7477.3,28043.6
7578.2,27673.5
7679.1,27256
7780,26921.3
7880.9,26679.7
7981.8,26468.3
8082.7,26286.8
8183.6,25935.4
8284.5,25537.6
8385.5,25161
8486.4,25118.7
8587.3,24561.2
8688.2,24177.7
8789.1,23950
8890,23726.3
8990.9,23484.4
9091.8,23268.8
9192.7,23064.6
9293.6,22894.6
9394.5,22681.9
9495.5,22421.2
9596.4,22314.7
9697.3,22201.3
9798.2,22239.1
9899.1,21948.2
10000,21727.9
