Frequency,Data
110.91,1014060
211.82,665546
312.73,501265
413.64,401901
514.55,339033
615.45,294148
716.36,259858
817.27,234350
918.18,213774
1019.1,196025
1120,181890
1220.9,169830
1321.8,158830
1422.7,149584
1523.6,141475
1624.5,134307
1725.5,127587
1826.4,121356
1927.3,116176
2028.2,111242
2129.1,106839
2230,103113
2330.9,99460.4
2431.8,96220.8
2532.7,93929.7
2633.6,91308
2734.5,89123
2835.5,88057
2936.4,85155.1
3037.3,82945
3138.2,80722.2
3239.1,79071.7
3340,76813.4
3440.9,74950.3
3541.8,73165
3642.7,71380.6
3743.6,69823.5
3844.5,68311.7
3945.5,66971.1
4046.4,65692.7
4147.3,64159.5
4248.2,62818.1
4349.1,61488.7
4450,60550.9
4550.9,59933.3
4651.8,58918.5
4752.7,57756.8
4853.6,56337.4
4954.5,55304.5
5055.5,54243
5156.4,53180.1
5257.3,52337.9
5358.2,51407.3
5459.1,50677.1
5560,49856.4
5660.9,49007.6
5761.8,48167.2
5862.7,47649.9
5963.6,47708.5
6064.5,47167.4
6165.5,46569
6266.4,45928.2
6367.3,45296.5
6468.2,45102.7
6569.1,44492.9
6670,43503.2
6770.9,42922.4
6871.8,42434.9
6972.7,41861.5
7073.6,41311
7174.5,40709
7275.5,40412.5
7376.4,39840
7477.3,39307
7578.2,38743.4
7679.1,38336.7
7780,37835.7
7880.9,37147.7
7981.8,36754.3
8082.7,36373.4
8183.6,35950.2
8284.5,35599.2
8385.5,35218.5
8486.4,34821.1
8587.3,34378.5
8688.2,34012.6
8789.1,33449.5
8890,32967.6
8990.9,32530.5
9091.8,32113.2
9192.7,31731.4
9293.6,31475
9394.5,31111
9495.5,30798.2
9596.4,30572.1
9697.3,30265.1
9798.2,30038.3
9899.1,29718.3
10000,29521.4
