Frequency,Data
211.82,758610
312.73,568292
413.64,460337
514.55,387017
615.45,331997
716.36,293189
817.27,261344
918.18,237496
1019.1,218889
1120,206445
1220.9,192166
1321.8,180228
1422.7,166916
1523.6,159476
1624.5,151937
1725.5,144339
1826.4,136408
1927.3,129283
2028.2,122651
2129.1,119063
2230,115167
2330.9,111409
2431.8,107126
2532.7,103820
2633.6,101387
2734.5,98710.5
2835.5,95989.8
2936.4,93088.5
3037.3,89840
3138.2,86687.5
3239.1,83925
3340,81646
3440.9,79162.6
3541.8,77148.9
3642.7,74844.3
3743.6,72799.3
3844.5,71104.5
3945.5,69380.2
4046.4,67829.9
4147.3,66323
4248.2,64874
4349.1,63706.5
4450,62595.6
4550.9,61313.6
4651.8,60065.2
4752.7,59010.9
4853.6,57954.9
4954.5,56884.7
5055.5,55836.1
5156.4,54968
5257.3,53962.7
5358.2,53108.1
5459.1,52097
5560,51274.9
5660.9,50445.7
5761.8,49451.1
5862.7,48708.5
5963.6,48002
6064.5,47389.5
6165.5,46567.1
6266.4,45897.7
6367.3,45364.2
6468.2,44723.8
6569.1,44118.8
6670,43542.1
6770.9,43210.5
6871.8,42682.6
6972.7,42308.7
7073.6,41683.6
7174.5,41227.4
7275.5,40701.5
7376.4,40224.2
7477.3,39743.6
7578.2,39288.1
7679.1,38859.7
7780,38331.3
7880.9,37877.8
7981.8,37385
8082.7,36979.8
8183.6,36623.7
8284.5,36280.7
8385.5,35840.4
8486.4,35416.1
8587.3,35064.2
8688.2,34725.3
8789.1,34387.4
8890,34032.2
8990.9,33691.5
9091.8,33370.1
9192.7,33017.8
9293.6,32766.3
9394.5,32523.5
9495.5,32556.2
9596.4,32328.2
9697.3,31922.4
9798.2,31741.3
9899.1,31569.3
10000,31278.3
